SAMPLEID,PLOTID,geometry,centroid,long,lat
379597919,379597919,"POLYGON ((34.17125414175049 -13.71593885646353, 34.17125414175049 -13.715039142778322, 34.17217436021005 -13.715039142778322, 34.17217436021005 -13.71593885646353, 34.17125414175049 -13.71593885646353))",POINT (34.171714250980266 -13.715488986801663),34.171714250980266,-13.715488986801663
379676619,379676619,"POLYGON ((34.0998563073002 -14.042524687458021, 34.0998563073002 -14.04162497377282, 34.10077782268245 -14.04162497377282, 34.10077782268245 -14.042524687458021, 34.0998563073002 -14.042524687458021))",POINT (34.10031706499133 -14.042074817620806),34.10031706499133,-14.042074817620806
380293374,380293374,"POLYGON ((34.41587361065723 -14.105781578730081, 34.41587361065723 -14.10488186504488, 34.416795381129475 -14.10488186504488, 34.416795381129475 -14.105781578730081, 34.41587361065723 -14.105781578730081))",POINT (34.41633449589335 -14.105331708859786),34.41633449589335,-14.105331708859786
380345835,380345835,"POLYGON ((34.3504979254619 -14.37294038968585, 34.3504979254619 -14.372040676000655, 34.35142078725795 -14.372040676000655, 34.35142078725795 -14.37294038968585, 34.3504979254619 -14.37294038968585))",POINT (34.35095935635993 -14.372490519679197),34.35095935635993,-14.372490519679197
379440362,379440362,"POLYGON ((33.80626738449264 -14.506695888529213, 33.80626738449264 -14.505796174844022, 33.80719080118919 -14.505796174844022, 33.80719080118919 -14.506695888529213, 33.80626738449264 -14.506695888529213))",POINT (33.80672909284092 -14.50624601845627),33.80672909284092,-14.50624601845627
378948276,378948276,"POLYGON ((33.57214610531673 -14.404883313501779, 33.57214610531673 -14.403983599816584, 33.57306909911401 -14.403983599816584, 33.57306909911401 -14.404883313501779, 33.57214610531673 -14.404883313501779))",POINT (33.57260760221537 -14.404433443479178),33.57260760221537,-14.404433443479178
378626816,378626816,"POLYGON ((33.53454777920629 -14.011675781594871, 33.53454777920629 -14.010776067909669, 33.53546917064566 -14.010776067909669, 33.53546917064566 -14.011675781594871, 33.53454777920629 -14.011675781594871))",POINT (33.53500847492598 -14.011225911773892),33.53500847492598,-14.011225911773892
378469338,378469338,"POLYGON ((33.42562880475409 -14.075339678438493, 33.42562880475409 -14.074439964753287, 33.426550452308355 -14.074439964753287, 33.426550452308355 -14.075339678438493, 33.42562880475409 -14.075339678438493))",POINT (33.42608962853122 -14.074889808584105),33.42608962853122,-14.074889808584105
383186686,383186686,"POLYGON ((35.289399284263645 -16.115844573311907, 35.289399284263645 -16.114944859626757, 35.29032982886733 -16.114944859626757, 35.29032982886733 -16.115844573311907, 35.289399284263645 -16.115844573311907))",POINT (35.28986455656548 -16.115394702545675),35.28986455656548,-16.115394702545675
354841468,354841468,"POLYGON ((18.089693649470856 -19.4372836316103, 18.089693649470856 -19.436383917925237, 18.09064165586831 -19.436383917925237, 18.09064165586831 -19.4372836316103, 18.089693649470856 -19.4372836316103))",POINT (18.09016765266958 -19.436833760020395),18.09016765266958,-19.436833760020395
353909739,353909739,"POLYGON ((17.474182615835893 -19.616253685896943, 17.474182615835893 -19.61535397221189, 17.475131672966565 -19.61535397221189, 17.475131672966565 -19.616253685896943, 17.474182615835893 -19.616253685896943))",POINT (17.474657144401228 -19.61580381428536),17.474657144401228,-19.61580381428536
361147058,361147058,"POLYGON ((22.290496230811762 -18.012749904146396, 22.290496230811762 -18.011850190461296, 22.29143628101839 -18.011850190461296, 22.29143628101839 -18.012749904146396, 22.290496230811762 -18.012749904146396))",POINT (22.29096625591508 -18.0123000328107),22.29096625591508,-18.0123000328107
377654418,377654418,"POLYGON ((28.067863368418575 -26.291622059332553, 28.067863368418575 -26.29072234564768, 28.068860495000106 -26.29072234564768, 28.068860495000106 -26.291622059332553, 28.067863368418575 -26.291622059332553))",POINT (28.068361931709337 -26.291172188362562),28.068361931709337,-26.291172188362562
377549506,377549506,"POLYGON ((28.299641618102406 -25.651643262164264, 28.299641618102406 -25.650743548479376, 28.300633334087134 -25.650743548479376, 28.300633334087134 -25.651643262164264, 28.299641618102406 -25.651643262164264))",POINT (28.300137476094772 -25.651193391025586),28.300137476094772,-25.651193391025586
